i1;i2;i3;i4;i5;i6;i7;i8;i9;only l3 correct;only l+3 correct;both correct;only l+3 correct (1);only l+3 correct (2);only l+3 correct (3);only l+3 correct (4)
3;5;7;7;7;8;9;9;9;3054;2406;2778;92;1266;320;728
3;3;7;7;8;9;9;9;9;1936;1288;2600;76;500;212;500
3;5;5;7;9;9;9;9;9;3384;2088;5688;24;1008;232;824
2;3;5;5;7;8;8;9;9;94;22;50;10;4;0;8
3;5;5;5;7;7;9;9;9;556;268;164;32;192;4;40
2;3;6;6;7;9;9;9;9;438;222;426;20;112;8;82
4;4;4;8;8;8;9;9;9;1896;1032;1560;72;240;288;432
6;7;7;8;8;9;9;9;9;16320;16104;48696;0;4176;4704;7224
6;7;9;9;9;9;9;9;9;14400;14400;147600;0;4176;8064;2160
4;5;5;5;7;7;9;9;9;828;396;252;36;288;0;72
3;3;4;7;8;8;9;9;9;1328;248;400;16;64;72;96
5;5;5;5;7;8;8;9;9;816;240;624;48;48;0;144
5;6;6;6;8;8;9;9;9;5844;4332;6036;12;2088;600;1632
3;3;8;8;8;8;8;9;9;1584;1440;720;192;96;0;1152
3;5;6;6;8;8;8;9;9;1523;1145;799;225;192;21;707
4;4;5;7;7;7;8;9;9;676;460;188;20;368;6;66
2;3;4;5;7;7;8;9;9;47;11;7;1;8;0;2
4;4;6;6;8;8;8;9;9;1536;1104;840;176;176;16;736
3;3;6;7;7;7;9;9;9;696;480;168;24;384;0;72
3;4;6;7;8;8;9;9;9;2348;1592;2296;80;556;370;586
4;5;5;6;7;9;9;9;9;1948;1084;2804;8;544;48;484
2;3;5;6;7;8;9;9;9;331;115;173;10;54;14;37
2;3;7;8;8;8;9;9;9;1008;720;1008;54;150;180;336
5;5;6;7;7;7;9;9;9;3936;2640;1248;48;2160;32;400
3;4;4;6;6;8;9;9;9;368;80;208;16;32;0;32
5;5;5;5;8;8;9;9;9;1776;912;1680;48;288;288;288
4;4;6;7;8;9;9;9;9;3688;2608;6140;52;1072;432;1052
5;6;6;6;7;7;8;9;9;2118;966;762;6;768;6;186
7;7;8;8;9;9;9;9;9;18720;18720;110880;0;2880;9024;6816
2;4;4;6;7;7;9;9;9;232;88;56;16;64;0;8
2;3;5;7;7;9;9;9;9;632;200;448;16;104;8;72
2;4;6;8;8;9;9;9;9;1806;1158;2730;76;464;218;400
4;6;6;7;7;7;9;9;9;3928;2632;1256;40;2168;32;392
4;6;7;9;9;9;9;9;9;10080;9648;42192;0;4296;2520;2832
5;6;6;7;7;7;8;9;9;2604;1740;852;12;1440;12;276
4;6;6;7;9;9;9;9;9;7200;6120;17208;0;2808;880;2432
3;4;4;9;9;9;9;9;9;3840;960;3360;0;480;0;480
3;4;4;6;7;9;9;9;9;824;248;616;16;128;8;96
2;5;7;8;9;9;9;9;9;3052;2512;7856;116;1180;418;798
2;4;7;7;9;9;9;9;9;2184;1320;3864;72;648;168;432
4;4;6;8;8;8;9;9;9;4032;3168;4608;176;944;752;1296
2;4;5;6;7;7;8;9;9;196;88;56;8;68;0;12
3;4;4;6;9;9;9;9;9;1536;384;1344;0;192;0;192
5;5;5;5;6;8;8;9;9;408;120;312;24;24;0;72
4;4;6;7;8;8;9;9;9;3228;2364;3468;104;832;524;904
