encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(8,)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 1, 5)","(1, 1, 5)","(1, 1, 2, 2, 2)","(1, 2, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(2, 6)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(1, 1, 1, 1, 1, 3)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 3, 3)","(1, 1, 1)","(2, 3, 3)","(1, 1)","(1, 1, 1, 1)","(2, 2, 2, 2)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 2, 2)","(1, 1, 1, 1, 1, 1)","(2, 2, 4)","(1, 1, 1, 2, 3)","(1, 6)","(2, 2, 3)","(4, 4)","(1, 1, 1, 1, 1, 1, 2)","(7,)","(1, 7)","(1, 1, 2, 3)","(1, 1, 1, 1, 4)","(1, 3, 4)","(2,)","(1, 2, 2, 3)","(1, 1, 2, 2)","(1, 3, 3)","(1, 1, 6)","(1, 2, 2, 2)","(1, 1, 2, 4)","(1, 5)","(1, 1, 1, 1, 1, 1, 1, 1)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(3, 5)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 1, 1, 3, 3, 5, 5]",0,0,,1728,8,,152,120,0,0,,0,208,0,528,480,1040,0,384,384,,2064,,,0,0,0,24,0,0,392,72,672,,,0,,1440,0,192,,2688,960,0,,0,32,0,0,0,0,0,0,1056,,0,,304,0,192,528,0,0,,0,0
"[0, 0, 1, 1, 3, 3, 5, 6]",24,0,,1152,8,,136,108,0,128,,24,204,20,504,384,840,16,312,304,,1560,,,0,12,0,26,0,0,336,72,576,,,0,,1216,0,128,,1904,752,0,,8,30,0,0,16,80,0,0,960,,0,,264,96,168,456,0,48,,32,0
"[0, 0, 1, 1, 3, 3, 5, 7]",48,0,,576,8,,120,96,0,256,,48,200,40,480,288,640,32,240,224,,1056,,,0,24,0,28,0,0,280,72,480,,,0,,992,0,64,,1120,544,0,,16,28,0,0,32,160,0,0,864,,0,,224,192,144,384,0,96,,64,0
"[0, 0, 1, 1, 3, 3, 6, 6]",48,0,,576,8,,120,96,0,256,,48,200,40,480,288,640,32,240,224,,1056,,,0,24,0,28,0,0,280,72,480,,,0,,992,0,64,,1120,544,0,,16,28,0,0,32,160,0,0,864,,0,,224,192,144,384,0,96,,64,0
"[0, 0, 1, 1, 3, 3, 6, 7]",72,0,,288,8,,108,84,0,256,,88,192,60,452,360,460,56,120,112,,636,,,0,36,0,30,0,0,228,72,520,,,16,,712,16,32,,560,272,0,,8,26,0,0,16,80,0,0,744,,0,,188,240,72,372,0,128,,112,24
"[0, 0, 1, 1, 3, 4, 4, 4]",0,0,,2304,8,,120,138,0,0,,0,210,0,600,576,1320,0,216,216,,2664,,,0,0,0,22,0,0,480,66,792,,,0,,1800,0,0,,3528,1224,0,,0,34,0,0,0,0,0,0,1296,,0,,240,0,216,504,0,0,,0,0
"[0, 0, 1, 1, 3, 4, 4, 5]",0,0,,1728,8,,152,120,0,0,,0,208,0,528,480,1040,0,384,384,,2064,,,0,0,0,24,0,0,392,72,672,,,0,,1440,0,192,,2688,960,0,,0,32,0,0,0,0,0,0,1056,,0,,304,0,192,528,0,0,,0,0
"[0, 0, 1, 1, 3, 4, 4, 6]",24,0,,1152,8,,136,108,0,128,,24,204,20,504,384,840,16,312,304,,1560,,,0,12,0,26,0,0,336,72,576,,,0,,1216,0,128,,1904,752,0,,8,30,0,0,16,80,0,0,960,,0,,264,96,168,456,0,48,,32,0
"[0, 0, 1, 1, 3, 4, 4, 7]",54,0,,576,8,,96,99,0,400,,60,199,50,494,192,690,36,180,164,,1152,,,0,30,0,28,0,0,296,69,336,,,0,,1100,0,64,,1204,628,0,,16,28,0,0,32,280,0,0,918,,0,,174,276,84,288,0,128,,76,0
"[0, 0, 1, 1, 3, 4, 5, 5]",0,0,,1152,8,,184,102,0,0,,0,206,0,456,384,760,0,552,552,,1464,,,0,0,0,26,0,0,304,78,552,,,0,,1080,0,384,,1848,696,0,,0,30,0,0,0,0,0,0,816,,0,,368,0,168,552,0,0,,0,0
"[0, 0, 1, 1, 3, 4, 5, 6]",30,0,,768,8,,172,90,0,64,,12,198,20,418,288,590,20,480,464,,1068,,,0,12,0,28,0,0,252,78,492,,,0,,848,0,256,,1288,520,0,,16,28,0,0,32,40,0,0,702,,0,,334,60,192,492,0,40,,28,0
"[0, 0, 1, 1, 3, 4, 5, 7]",69,0,,384,8,,136,81,0,224,,42,189,50,399,192,465,46,318,286,,744,,,0,30,0,30,0,0,216,75,360,,,0,,718,0,128,,770,386,0,,32,26,0,0,64,140,0,0,651,,0,,249,186,126,360,0,108,,74,0
"[0, 0, 1, 1, 3, 4, 6, 6]",60,0,,384,8,,160,78,0,128,,24,190,40,380,192,420,40,408,376,,672,,,0,24,0,30,0,0,200,78,432,,,0,,616,0,128,,728,344,0,,32,26,0,0,64,80,0,0,588,,0,,300,120,216,432,0,80,,56,0
"[0, 0, 1, 1, 3, 4, 6, 7]",90,0,,192,8,,128,69,0,176,,68,177,70,362,240,310,76,204,188,,408,,,0,42,0,32,0,0,168,75,416,,,32,,452,32,64,,364,172,0,,16,24,0,0,32,40,0,0,522,,0,,218,204,108,360,0,128,,116,48
"[0, 0, 1, 1, 3, 5, 5, 5]",0,0,,576,8,,216,84,0,0,,0,204,0,384,288,480,0,720,720,,864,,,0,0,0,28,0,0,216,84,432,,,0,,720,0,576,,1008,432,0,,0,28,0,0,0,0,0,0,576,,0,,432,0,144,576,0,0,,0,0
"[0, 0, 1, 1, 3, 5, 5, 6]",36,0,,384,8,,208,72,0,0,,0,192,20,332,192,340,24,648,624,,576,,,0,12,0,30,0,0,168,84,408,,,0,,480,0,384,,672,288,0,,24,26,0,0,48,0,0,0,444,,0,,404,24,216,528,0,32,,24,0
"[0, 0, 1, 1, 3, 5, 5, 7]",90,0,,192,8,,152,66,0,192,,36,178,60,318,96,290,60,396,348,,432,,,0,36,0,32,0,0,152,78,240,,,0,,444,0,192,,420,228,0,,48,24,0,0,96,120,0,0,438,,0,,274,180,108,336,0,120,,84,0
"[0, 0, 1, 1, 3, 5, 6, 6]",72,0,,192,8,,200,60,0,0,,0,180,40,280,96,200,48,576,528,,288,,,0,24,0,32,0,0,120,84,384,,,0,,240,0,192,,336,144,0,,48,24,0,0,96,0,0,0,312,,0,,376,48,288,480,0,64,,48,0
"[0, 0, 1, 1, 3, 5, 6, 7]",108,0,,96,8,,148,54,0,96,,48,162,80,272,120,160,96,288,264,,180,,,0,48,0,34,0,0,108,78,312,,,48,,192,48,96,,168,72,0,,24,22,0,0,48,0,0,0,300,,0,,248,168,144,348,0,128,,120,72
"[0, 0, 1, 1, 4, 4, 4, 4]",0,0,,1152,8,,144,120,0,0,,0,216,0,576,576,960,0,288,288,,1728,,,0,0,0,24,0,0,384,72,864,,,0,,1440,0,0,,2016,864,0,,0,32,0,0,0,0,0,0,1152,,0,,288,0,288,576,0,0,,0,0
"[0, 0, 1, 1, 4, 4, 4, 5]",0,0,,864,8,,180,102,0,0,,0,210,0,480,432,720,0,504,504,,1296,,,0,0,0,26,0,0,300,78,648,,,0,,1080,0,288,,1512,648,0,,0,30,0,0,0,0,0,0,864,,0,,360,0,216,576,0,0,,0,0
"[0, 0, 1, 1, 4, 4, 4, 6]",36,0,,576,8,,144,93,0,192,,36,201,30,456,288,600,24,360,348,,1008,,,0,18,0,28,0,0,264,75,468,,,0,,924,0,192,,1092,516,0,,12,28,0,0,24,120,0,0,792,,0,,276,144,144,432,0,72,,48,0
"[0, 0, 1, 1, 4, 4, 4, 7]",72,0,,288,8,,108,84,0,384,,72,192,60,432,144,480,48,216,192,,720,,,0,36,0,30,0,0,228,72,288,,,0,,768,0,96,,672,384,0,,24,26,0,0,48,240,0,0,720,,0,,192,288,72,288,0,144,,96,0
"[0, 0, 1, 1, 4, 4, 5, 5]",0,0,,576,8,,216,84,0,0,,0,204,0,384,288,480,0,720,720,,864,,,0,0,0,28,0,0,216,84,432,,,0,,720,0,576,,1008,432,0,,0,28,0,0,0,0,0,0,576,,0,,432,0,144,576,0,0,,0,0
"[0, 0, 1, 1, 4, 4, 5, 6]",45,0,,384,8,,184,75,0,96,,18,191,30,351,192,385,30,558,534,,648,,,0,18,0,30,0,0,184,81,336,,,0,,582,0,384,,714,330,0,,24,26,0,0,48,60,0,0,507,,0,,353,90,126,456,0,60,,42,0
"[0, 0, 1, 1, 4, 4, 5, 7]",90,0,,192,8,,152,66,0,192,,36,178,60,318,96,290,60,396,348,,432,,,0,36,0,32,0,0,152,78,240,,,0,,444,0,192,,420,228,0,,48,24,0,0,96,120,0,0,438,,0,,274,180,108,336,0,120,,84,0
"[0, 0, 1, 1, 4, 4, 6, 6]",90,0,,192,8,,152,66,0,192,,36,178,60,318,96,290,60,396,348,,432,,,0,36,0,32,0,0,152,78,240,,,0,,444,0,192,,420,228,0,,48,24,0,0,96,120,0,0,438,,0,,274,180,108,336,0,120,,84,0
"[0, 0, 1, 1, 4, 4, 6, 7]",117,0,,96,8,,124,57,0,192,,66,161,90,291,120,205,102,198,174,,252,,,0,54,0,34,0,0,124,75,240,,,48,,294,48,96,,210,114,0,,24,22,0,0,48,60,0,0,363,,0,,197,234,54,276,0,156,,138,72
"[0, 0, 1, 1, 4, 5, 5, 5]",0,0,,288,8,,252,66,0,0,,0,198,0,288,144,240,0,936,936,,432,,,0,0,0,30,0,0,132,90,216,,,0,,360,0,864,,504,216,0,,0,26,0,0,0,0,0,0,288,,0,,504,0,72,576,0,0,,0,0
"[0, 0, 1, 1, 4, 5, 5, 6]",54,0,,192,8,,224,57,0,0,,0,181,30,246,96,170,36,756,720,,288,,,0,18,0,32,0,0,104,87,204,,,0,,240,0,576,,336,144,0,,36,24,0,0,72,0,0,0,222,,0,,430,36,108,480,0,48,,36,0
"[0, 0, 1, 1, 4, 5, 5, 7]",117,0,,96,8,,172,51,0,96,,18,163,70,223,48,145,78,486,414,,216,,,0,42,0,34,0,0,92,81,120,,,0,,222,0,288,,210,114,0,,72,22,0,0,144,60,0,0,219,,0,,305,138,54,312,0,124,,90,0
"[0, 0, 1, 1, 4, 5, 6, 6]",108,0,,96,8,,196,48,0,0,,0,164,60,204,48,100,72,576,504,,144,,,0,36,0,34,0,0,76,84,192,,,0,,120,0,288,,168,72,0,,72,22,0,0,144,0,0,0,156,,0,,356,72,144,384,0,96,,72,0
"[0, 0, 1, 1, 4, 5, 6, 7]",138,0,,48,8,,148,42,0,48,,24,142,100,192,60,80,128,288,252,,90,,,0,60,0,36,0,0,68,78,156,,,72,,96,72,144,,84,36,0,,36,20,0,0,72,0,0,0,150,,0,,232,156,72,270,0,144,,132,108
"[0, 0, 1, 2, 2, 2, 2, 2]",0,0,,11520,8,,0,246,0,0,,0,150,0,600,0,3720,0,0,0,,9360,,,0,0,0,10,0,0,1080,30,0,,,0,,3600,0,0,,15120,3600,0,,0,46,0,0,0,0,0,0,1800,,0,,0,0,0,0,0,0,,0,0
