encodings,"(1, 2, 3)","(1, 1, 1, 4)","(1, 1, 1, 1, 1, 2)","(1,)","(1, 1, 1, 1, 3)","(2, 2)","(3,)","(1, 1, 5)","(1, 3)","(1, 1, 2)","(1, 4)","(5,)","(1, 2, 2)","(3, 3)","(3, 4)","(6,)","(1, 1, 1, 1, 1)","(1, 1, 1, 2, 2)","(1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(4,)","(1, 2)","(2, 5)","(1, 1, 1, 1, 1, 1)","(1, 6)","(2, 2, 3)","(7,)","(1, 1, 2, 3)","(2,)","(1, 1, 2, 2)","(1, 3, 3)","(1, 2, 2, 2)","(1, 5)","(1, 1, 1, 3)","(1, 1, 1, 1, 2)","(2, 3)","(1, 1, 4)","(2, 4)","(1, 1, 1, 2)","(1, 1, 3)","(1, 1, 1, 1, 1, 1, 1)","(1, 2, 4)","(2, 2, 2)"
"[0, 0, 2, 2, 2, 4, 6]",16,0,,7,,40,57,64,100,32,184,200,16,24,12,192,,,24,22,0,128,43,36,,108,0,84,0,20,0,0,0,208,0,,52,96,64,0,64,,16,0
"[0, 0, 2, 2, 2, 5, 5]",16,0,,7,,40,57,64,100,32,184,200,16,24,12,192,,,24,22,0,128,43,36,,108,0,84,0,20,0,0,0,208,0,,52,96,64,0,64,,16,0
"[0, 0, 2, 2, 2, 5, 6]",26,0,,7,,48,45,32,92,40,149,115,26,12,6,96,,,30,24,0,88,45,48,,54,0,42,0,18,0,0,0,134,0,,59,84,80,0,68,,26,0
"[0, 0, 2, 2, 3, 3, 3]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 0, 2, 2, 3, 3, 4]",4,0,,7,,52,78,16,108,8,232,380,4,24,12,444,,,6,18,0,204,42,108,,192,0,252,0,24,0,0,0,316,0,,76,24,124,0,16,,4,0
"[0, 0, 2, 2, 3, 3, 5]",8,0,,7,,56,66,32,104,16,200,280,8,48,24,312,,,12,20,0,160,44,72,,144,0,168,0,22,0,0,0,248,0,,80,48,104,0,32,,8,0
"[0, 0, 2, 2, 3, 3, 6]",16,0,,7,,40,57,64,100,32,184,200,16,24,12,192,,,24,22,0,128,43,36,,108,0,84,0,20,0,0,0,208,0,,52,96,64,0,64,,16,0
"[0, 0, 2, 2, 3, 4, 4]",8,0,,7,,56,66,32,104,16,200,280,8,48,24,312,,,12,20,0,160,44,72,,144,0,168,0,22,0,0,0,248,0,,80,48,104,0,32,,8,0
"[0, 0, 2, 2, 3, 4, 5]",16,0,,7,,64,54,32,96,24,160,200,16,72,32,216,,,18,22,0,120,46,48,,104,0,112,0,20,0,8,0,184,0,,88,48,88,0,40,,8,0
"[0, 0, 2, 2, 3, 4, 6]",24,0,,7,,52,45,40,88,40,141,135,30,36,16,126,,,30,24,0,92,45,34,,70,4,56,0,18,0,4,0,144,0,,63,72,66,0,60,,16,12
"[0, 0, 2, 2, 3, 5, 5]",24,0,,7,,72,42,32,88,32,120,120,24,96,40,120,,,24,24,0,80,48,24,,64,0,56,0,18,0,16,0,120,0,,96,48,72,0,48,,8,0
"[0, 0, 2, 2, 3, 5, 6]",32,0,,7,,64,33,16,76,48,98,70,44,48,20,60,,,36,26,0,56,47,32,,32,8,28,0,16,0,8,0,80,0,,74,48,68,0,56,,16,24
"[0, 0, 2, 2, 4, 4, 4]",12,0,,7,,60,54,48,100,24,168,180,12,72,36,180,,,18,22,0,116,46,36,,96,0,84,0,20,0,0,0,180,0,,84,72,84,0,48,,12,0
"[0, 0, 2, 2, 4, 4, 5]",24,0,,7,,72,42,32,88,32,120,120,24,96,40,120,,,24,24,0,80,48,24,,64,0,56,0,18,0,16,0,120,0,,96,48,72,0,48,,8,0
"[0, 0, 2, 2, 4, 4, 6]",24,18,,7,,48,36,42,80,48,107,85,26,54,20,72,,,42,26,24,64,44,12,,44,0,28,2,16,4,14,0,98,24,,59,76,40,18,74,,8,0
"[0, 0, 2, 2, 4, 5, 5]",36,0,,7,,84,30,16,76,40,72,60,36,120,44,60,,,30,26,0,44,50,12,,32,0,28,0,16,0,32,0,60,0,,108,24,60,0,48,,4,0
"[0, 0, 2, 2, 4, 5, 6]",36,0,,7,,64,24,8,64,56,61,35,46,60,22,30,,,48,28,24,32,46,16,,16,4,14,4,14,8,16,0,40,12,,73,32,50,18,58,,12,12
"[0, 0, 2, 3, 3, 3, 3]",0,0,,7,,64,75,0,116,0,252,300,0,0,0,288,,,0,18,0,184,45,192,,120,0,168,0,24,0,0,0,312,0,,96,0,192,0,0,,0,0
"[0, 0, 2, 3, 3, 3, 4]",6,0,,7,,72,63,0,108,8,207,225,6,36,18,216,,,6,20,0,144,47,144,,90,0,126,0,22,0,0,0,234,0,,105,12,168,0,12,,6,0
"[0, 0, 2, 3, 3, 3, 5]",16,0,,7,,60,54,16,100,24,178,170,16,24,12,156,,,18,22,0,116,46,96,,72,0,84,0,20,0,0,0,184,0,,82,48,124,0,40,,16,0
"[0, 0, 2, 3, 3, 3, 6]",26,0,,7,,48,45,32,92,40,149,115,26,12,6,96,,,30,24,0,88,45,48,,54,0,42,0,18,0,0,0,134,0,,59,84,80,0,68,,26,0
"[0, 0, 2, 3, 3, 4, 4]",12,0,,7,,80,51,0,100,16,162,150,12,72,36,144,,,12,22,0,104,49,96,,60,0,84,0,20,0,0,0,156,0,,114,24,144,0,24,,12,0
"[0, 0, 2, 3, 3, 4, 5]",22,0,,7,,72,42,8,88,32,130,110,28,60,28,102,,,24,24,0,80,48,64,,46,4,56,0,18,0,4,0,118,0,,94,36,106,0,40,,14,12
"[0, 0, 2, 3, 3, 4, 6]",32,0,,7,,64,33,16,76,48,98,70,44,48,20,60,,,36,26,0,56,47,32,,32,8,28,0,16,0,8,0,80,0,,74,48,68,0,56,,16,24
"[0, 0, 2, 3, 3, 5, 5]",32,0,,7,,64,33,16,76,48,98,70,44,48,20,60,,,36,26,0,56,47,32,,32,8,28,0,16,0,8,0,80,0,,74,48,68,0,56,,16,24
"[0, 0, 2, 3, 3, 5, 6]",38,0,,7,,60,24,8,60,64,68,40,68,24,10,30,,,48,28,0,36,46,26,,16,20,14,0,14,0,4,0,50,0,,56,36,50,0,56,,14,60
"[0, 0, 2, 3, 4, 4, 4]",18,0,,7,,88,39,0,92,24,117,75,18,108,54,72,,,18,24,0,64,51,48,,30,0,42,0,18,0,0,0,78,0,,123,36,120,0,36,,18,0
"[0, 0, 2, 3, 4, 4, 5]",28,0,,7,,84,30,0,76,40,82,50,40,96,44,48,,,30,26,0,44,50,32,,20,8,28,0,16,0,8,0,52,0,,106,24,88,0,40,,12,24
"[0, 0, 2, 3, 4, 4, 6]",36,0,,7,,64,24,8,64,56,61,35,46,60,22,30,,,48,28,24,32,46,16,,16,4,14,4,14,8,16,0,40,12,,73,32,50,18,58,,12,12
"[0, 0, 2, 3, 4, 5, 5]",38,0,,7,,80,21,0,60,56,47,25,62,84,34,24,,,42,28,0,24,49,16,,10,16,14,0,14,0,16,0,26,0,,89,12,56,0,44,,6,48
"[0, 0, 2, 3, 4, 5, 6]",36,0,,7,,64,15,0,44,72,33,15,78,42,17,12,,,60,30,24,16,45,13,,5,22,7,0,12,12,8,6,18,0,,57,12,36,18,42,,6,72
"[0, 1, 1, 1, 1, 1, 1]",0,0,,7,,0,210,0,0,0,0,2520,0,0,0,5040,,,0,0,0,840,0,0,,0,0,5040,0,42,0,0,0,0,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 1, 2]",0,0,,7,,0,195,0,20,0,60,2220,0,0,0,4320,,,0,2,0,760,5,0,,120,0,4200,0,40,0,0,0,120,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 1, 3]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 1, 4]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 1, 5]",0,0,,7,,0,150,0,80,0,240,1320,0,0,0,2160,,,0,8,0,520,20,0,,480,0,1680,0,34,0,0,0,480,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 1, 6]",0,0,,7,,0,135,0,100,0,300,1020,0,0,0,1440,,,0,10,0,440,25,0,,600,0,840,0,32,0,0,0,600,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 2, 2]",0,0,,7,,0,180,0,40,0,120,1920,0,0,0,3600,,,0,4,0,680,10,0,,240,0,3360,0,38,0,0,0,240,0,,0,0,0,0,0,,0,0
"[0, 1, 1, 1, 1, 2, 3]",0,0,,7,,4,165,0,56,0,162,1650,0,0,0,2988,,,0,6,0,604,15,12,,300,0,2688,0,36,0,0,0,312,0,,6,0,12,0,0,,0,0
"[0, 1, 1, 1, 1, 2, 4]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 1, 1, 1, 1, 2, 5]",0,0,,7,,12,135,0,88,0,246,1110,0,0,0,1764,,,0,10,0,452,25,36,,420,0,1344,0,32,0,0,0,456,0,,18,0,36,0,0,,0,0
"[0, 1, 1, 1, 1, 2, 6]",0,0,,7,,16,120,0,104,0,288,840,0,0,0,1152,,,0,12,0,376,30,48,,480,0,672,0,30,0,0,0,528,0,,24,0,48,0,0,,0,0
"[0, 1, 1, 1, 1, 3, 3]",0,0,,7,,8,150,0,72,0,204,1380,0,0,0,2376,,,0,8,0,528,20,24,,360,0,2016,0,34,0,0,0,384,0,,12,0,24,0,0,,0,0
"[0, 1, 1, 1, 1, 3, 4]",0,0,,7,,16,135,0,84,0,228,1140,0,0,0,1872,,,0,10,0,456,25,48,,360,0,1512,0,32,0,0,0,408,0,,24,0,48,0,0,,0,0
"[0, 1, 1, 1, 1, 3, 5]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 1, 1, 1, 1, 3, 6]",0,0,,7,,32,105,0,108,0,276,660,0,0,0,864,,,0,14,0,312,35,96,,360,0,504,0,28,0,0,0,456,0,,48,0,96,0,0,,0,0
"[0, 1, 1, 1, 1, 4, 4]",0,0,,7,,24,120,0,96,0,252,900,0,0,0,1368,,,0,12,0,384,30,72,,360,0,1008,0,30,0,0,0,432,0,,36,0,72,0,0,,0,0
"[0, 1, 1, 1, 1, 4, 5]",0,0,,7,,36,105,0,104,0,258,690,0,0,0,972,,,0,14,0,316,35,108,,300,0,672,0,28,0,0,0,408,0,,54,0,108,0,0,,0,0
"[0, 1, 1, 1, 1, 4, 6]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 1, 1, 1, 1, 5, 5]",0,0,,7,,48,90,0,112,0,264,480,0,0,0,576,,,0,16,0,248,40,144,,240,0,336,0,26,0,0,0,384,0,,72,0,144,0,0,,0,0
"[0, 1, 1, 1, 1, 5, 6]",0,0,,7,,64,75,0,116,0,252,300,0,0,0,288,,,0,18,0,184,45,192,,120,0,168,0,24,0,0,0,312,0,,96,0,192,0,0,,0,0
"[0, 1, 1, 1, 2, 2, 2]",0,0,,7,,0,165,0,60,0,180,1620,0,0,0,2880,,,0,6,0,600,15,0,,360,0,2520,0,36,0,0,0,360,0,,0,0,0,0,0,,0,0
